loc,stand,pitch_type,pitches,total_pitches,pitch_prob,hits,onbase,hrs,strikeouts,bbs,pitch_probability,BA,OBP,HR Rate,K Rate,BB Rate,Type
Home,L,FF | CH,2,31,0.06451612903225806,0,0,0,1,0,6.45,0,0,0,50,0,conditionals
Home,L,FF | CU,2,23,0.08695652173913043,0,0,0,1,0,8.7,0,0,0,50,0,conditionals
Home,L,FF | FC,15,75,0.2,2,2,0,2,0,20,13.33,13.33,0,13.33,0,conditionals
Home,L,FF | FF,26,71,0.36619718309859156,4,5,0,2,1,36.62,15.38,19.23,0,7.69,3.85,conditionals
Home,L,FF | SI,6,82,0.07317073170731707,1,1,0,0,0,7.32,16.67,16.67,0,0,0,conditionals
Home,L,null | null,1,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,conditionals
Home,L,SI | CH,7,31,0.22580645161290322,0,0,0,0,0,22.58,0,0,0,0,0,conditionals
Home,L,SI | CU,8,23,0.34782608695652173,1,1,0,1,0,34.78,12.5,12.5,0,12.5,0,conditionals
Home,L,SI | FC,14,75,0.18666666666666668,2,2,0,2,0,18.67,14.29,14.29,0,14.29,0,conditionals
Home,L,SI | FF,10,71,0.14084507042253522,1,1,0,1,0,14.08,10,10,0,10,0,conditionals
Home,L,SI | SI,25,82,0.3048780487804878,5,7,0,0,2,30.49,20,28,0,0,8,conditionals
Home,R,CH | CH,29,192,0.15104166666666666,2,2,0,1,0,15.1,6.9,6.9,0,3.45,0,conditionals
Home,R,CH | CU,36,194,0.18556701030927836,5,5,0,3,0,18.56,13.89,13.89,0,8.33,0,conditionals
Home,R,CH | FC,51,408,0.125,5,6,0,5,1,12.5,9.8,11.76,0,9.8,1.96,conditionals
Home,R,CH | FF,38,377,0.10079575596816977,3,3,1,2,0,10.08,7.89,7.89,2.63,5.26,0,conditionals
Home,R,CH | SI,14,80,0.175,2,2,0,1,0,17.5,14.29,14.29,0,7.14,0,conditionals
Home,R,CU | CH,21,192,0.109375,1,1,0,2,0,10.94,4.76,4.76,0,9.52,0,conditionals
Home,R,CU | CU,29,194,0.14948453608247422,2,2,0,2,0,14.95,6.9,6.9,0,6.9,0,conditionals
Home,R,CU | FC,35,408,0.0857843137254902,1,3,0,6,2,8.58,2.86,8.57,0,17.14,5.71,conditionals
Home,R,CU | FF,33,377,0.08753315649867374,1,1,0,4,0,8.75,3.03,3.03,0,12.12,0,conditionals
Home,R,CU | SI,4,80,0.05,0,0,0,0,0,5,0,0,0,0,0,conditionals
Home,R,FC | CH,40,192,0.20833333333333334,5,5,1,7,0,20.83,12.5,12.5,2.5,17.5,0,conditionals
Home,R,FC | CU,54,194,0.27835051546391754,5,7,1,2,2,27.84,9.26,12.96,1.85,3.7,3.7,conditionals
Home,R,FC | FC,133,408,0.32598039215686275,10,16,1,8,6,32.6,7.52,12.03,0.75,6.02,4.51,conditionals
Home,R,FC | FF,82,377,0.21750663129973474,3,4,0,10,1,21.75,3.66,4.88,0,12.2,1.22,conditionals
Home,R,FC | SI,17,80,0.2125,0,0,0,1,0,21.25,0,0,0,5.88,0,conditionals
Home,R,FF | CH,39,192,0.203125,5,9,0,2,4,20.31,12.82,23.08,0,5.13,10.26,conditionals
Home,R,FF | CU,32,194,0.16494845360824742,5,5,1,0,0,16.49,15.62,15.62,3.12,0,0,conditionals
Home,R,FF | FC,76,408,0.18627450980392157,6,8,2,7,2,18.63,7.89,10.53,2.63,9.21,2.63,conditionals
Home,R,FF | FF,118,377,0.3129973474801061,9,10,0,8,1,31.3,7.63,8.47,0,6.78,0.85,conditionals
Home,R,FF | SI,8,80,0.1,2,2,0,0,0,10,25,25,0,0,0,conditionals
Home,R,SI | CH,7,192,0.036458333333333336,1,1,0,0,0,3.65,14.29,14.29,0,0,0,conditionals
Home,R,SI | CU,8,194,0.041237113402061855,2,2,0,0,0,4.12,25,25,0,0,0,conditionals
Home,R,SI | FC,9,408,0.022058823529411766,2,2,0,0,0,2.21,22.22,22.22,0,0,0,conditionals
Home,R,SI | FF,11,377,0.029177718832891247,2,2,0,0,0,2.92,18.18,18.18,0,0,0,conditionals
Home,R,SI | SI,16,80,0.2,1,1,0,0,0,20,6.25,6.25,0,0,0,conditionals
Road,L,CH | CH,4,25,0.16,0,0,0,0,0,16,0,0,0,0,0,conditionals
Road,L,CH | CU,3,54,0.05555555555555555,0,0,0,0,0,5.56,0,0,0,0,0,conditionals
Road,L,CH | FC,6,130,0.046153846153846156,2,2,0,0,0,4.62,33.33,33.33,0,0,0,conditionals
